timestamp_iso,uid
2025-09-08T14:31:03.951Z,724343287701807
2025-09-08T14:31:12.046Z,926474294859266
2025-09-08T14:31:14.124Z,826749023948286
2025-09-08T14:31:20.060Z,474896623219339
2025-09-08T14:31:24.139Z,920575847108402
2025-09-08T14:31:28.779Z,967465407594551
2025-09-08T14:31:38.828Z,133952623844689
2025-09-08T14:31:43.083Z,473001216860491
2025-09-08T14:31:46.588Z,475237640052066
2025-09-08T14:31:52.219Z,450750217795817
2025-09-08T14:31:54.891Z,196660061956715
2025-09-08T14:32:00.058Z,749303739107999
2025-09-08T14:32:02.971Z,430949174343423
2025-09-08T14:32:09.891Z,801324946764201
2025-09-08T14:32:12.275Z,231879566491607
2025-09-08T14:32:15.746Z,231879566491607
2025-09-08T14:32:22.435Z,911316052254812
2025-09-08T14:32:26.755Z,538793018252573
2025-09-08T14:32:29.971Z,119932743828756
2025-09-08T14:32:32.803Z,495777161984866
2025-09-08T14:32:41.731Z,232591411343940
2025-09-08T14:32:47.362Z,333912681550493
2025-09-08T14:32:52.195Z,909395469540820
2025-09-08T14:32:54.963Z,565333244075807
2025-09-08T14:33:00.625Z,961702334282811
2025-09-08T14:33:05.170Z,357780139626727
2025-09-08T14:33:13.863Z,581738465287103
2025-09-08T14:33:16.918Z,411495820687571
2025-09-08T14:33:23.175Z,357946068067847
2025-09-08T14:33:33.720Z,927582027798446
2025-09-08T14:33:38.374Z,298842594687347
2025-09-08T14:33:44.103Z,299685792353477
2025-09-08T14:33:48.166Z,340154145363540
2025-09-08T14:33:51.206Z,168025401667255
2025-09-08T14:33:54.390Z,774334559591673
2025-09-08T14:34:07.223Z,105877328865398
2025-09-08T14:34:15.240Z,491536568810917
2025-09-08T14:34:21.607Z,701048043475929
2025-09-08T14:34:27.752Z,261034801867150
2025-09-08T14:35:42.567Z,469205681643358
2025-09-08T14:36:57.096Z,860795222268665
